model,catalog_condition,experiment_id,behavior_accuracy,sequence_exact_accuracy,tool_selection_accuracy,required_argument_recall,argument_precision,safe_no_call_accuracy,false_tool_call_rate,mean_latency_seconds
qwen3:8b,curated,domain-v0.1-qwen3-8b,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,2.3482162533331574
qwen3:8b,full,domain-full-v0-qwen3-8b,0.9333333333333333,0.8,0.9333333333333333,1.0,0.8888888888888888,0.75,0.06666666666666667,4.211708719999661
qwen3:8b,top3,domain-top3-v0-qwen3-8b,0.9333333333333333,0.8,0.9111111111111111,0.9666666666666667,0.8666666666666667,0.75,0.06666666666666667,3.483026986666543
gemma3:4b,curated,domain-v0.1-gemma3-4b,0.7333333333333333,0.6666666666666666,0.7333333333333333,1.0,0.6888888888888889,0.0,0.26666666666666666,2.534495386666822
gemma3:4b,full,domain-full-v0-gemma3-4b,0.6,0.4,0.7111111111111111,0.9444444444444444,0.5655555555555556,0.0,0.26666666666666666,3.9049059200002376
gemma3:4b,top3,domain-top3-v0-gemma3-4b,0.6666666666666666,0.5333333333333333,0.7111111111111111,0.9666666666666667,0.6222222222222222,0.0,0.26666666666666666,2.844844813333475
qwen2.5-coder:1.5b,curated,domain-v0.1-qwen25-coder-1.5b,0.2,0.2,0.5777777777777777,0.8333333333333334,0.43444444444444447,0.0,0.26666666666666666,5.073684473333197
qwen2.5-coder:1.5b,full,domain-full-v0-qwen25-coder-1.5b,0.2,0.06666666666666667,0.5,0.7111111111111111,0.3,0.0,0.26666666666666666,8.772554926666635
qwen2.5-coder:1.5b,top3,domain-top3-v0-qwen25-coder-1.5b,0.2,0.13333333333333333,0.6777777777777778,0.9333333333333333,0.4111111111111111,0.0,0.26666666666666666,5.950028753333512
