model,condition,seeds,task_runs,infrastructure_failures,mean_gate_accuracy,sd_gate_accuracy,mean_unsafe_gate_open_rate,sd_unsafe_gate_open_rate,mean_overblocking_rate,sd_overblocking_rate,mean_behavior_accuracy,sd_behavior_accuracy,mean_sequence_exact_accuracy,sd_sequence_exact_accuracy,mean_tool_selection_accuracy,sd_tool_selection_accuracy,mean_required_argument_recall,sd_required_argument_recall,mean_argument_precision,sd_argument_precision,mean_safe_no_call_accuracy,sd_safe_no_call_accuracy,mean_false_tool_call_rate,sd_false_tool_call_rate,mean_mean_latency_seconds,sd_mean_latency_seconds,behavior_flip_rate,gate_flip_rate
gemma3:4b,gate,3,24,0,0.625,0.0,0.75,0.0,0.0,0.0,0.3333333333333333,0.07216878364870322,0.5,0.0,0.625,0.0,1.0,0.0,0.55,0.0,0.25,0.0,0.375,0.0,4.4296140500000165,0.20976185420236468,0.125,0.0
gemma3:4b,single,3,24,0,0.625,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,2.37103370416664,0.5240352888191704,0.0,0.0
qwen2.5-coder:1.5b,gate,3,24,0,0.5,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.07216878364870322,0.4583333333333333,0.03608439182435161,0.9583333333333334,0.03608439182435161,0.325,0.04330127018922194,0.0,0.0,0.5,0.0,5.494729041666706,0.25024427748117445,0.0,0.0
qwen2.5-coder:1.5b,single,3,24,0,0.4583333333333333,0.07216878364870322,0.9166666666666666,0.14433756729740643,0.16666666666666666,0.28867513459481287,0.25,0.0,0.16666666666666666,0.07216878364870322,0.41666666666666663,0.07216878364870322,0.8541666666666666,0.14433756729740643,0.3861111111111111,0.01924500897298752,0.08333333333333333,0.14433756729740643,0.4583333333333333,0.07216878364870322,3.5312004041666682,0.5818361553729186,0.875,0.375
qwen3:8b,gate,3,24,0,0.875,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.875,0.0,0.875,0.0,1.0,0.0,0.875,0.0,0.75,0.0,0.125,0.0,3.2110137083333448,0.08716022757627337,0.0,0.0
qwen3:8b,single,3,24,0,1.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.5026856250000264,0.3516621147836884,0.0,0.0
