model,surface,seeds,task_runs,changed_task_runs,expected_tool_changed_task_runs,unchanged_task_runs,infrastructure_failures,completion_reliability,changed_exact_accuracy,expected_tool_changed_exact_accuracy,unchanged_exact_accuracy,mean_behavior_accuracy,sd_behavior_accuracy,mean_sequence_exact_accuracy,sd_sequence_exact_accuracy,mean_tool_selection_accuracy,sd_tool_selection_accuracy,mean_required_argument_recall,sd_required_argument_recall,mean_argument_precision,sd_argument_precision,mean_safe_no_call_accuracy,sd_safe_no_call_accuracy,mean_false_tool_call_rate,sd_false_tool_call_rate,mean_mean_latency_seconds,sd_mean_latency_seconds
qwen2.5-coder:1.5b,before,3,60,45,18,15,0,1.0,0.08888888888888889,0.0,0.0,0.1,0.0,0.06666666666666667,0.02886751345948129,0.34444444444444444,0.00962250448649376,0.4523809523809524,0.03092947870658708,0.22571428571428573,0.011266207775543793,0.16666666666666666,0.28867513459481287,0.16666666666666669,0.05773502691896258,3.4914712433334594,0.5840943522998576
qwen2.5-coder:1.5b,after,3,60,45,18,15,0,1.0,0.08888888888888889,0.0,0.0,0.11666666666666667,0.02886751345948128,0.06666666666666667,0.07637626158259733,0.3,0.016666666666666663,0.41849206349206347,0.02759577563605349,0.22293650793650793,0.056297609397603296,0.16666666666666666,0.28867513459481287,0.16666666666666669,0.05773502691896258,3.5340164500000055,0.7019685015713876
gemma3:4b,before,3,60,45,18,15,0,1.0,0.06666666666666667,0.0,0.2,0.31666666666666665,0.02886751345948128,0.1,0.0,0.5333333333333333,0.0,0.5552380952380952,0.0,0.3225,0.005773502691896263,0.0,0.0,0.2,0.0,2.552686595000341,0.03581481841456368
gemma3:4b,after,3,60,45,18,15,0,1.0,0.13333333333333333,0.16666666666666666,0.4,0.35,0.0,0.2,0.0,0.6,0.0,0.6373809523809524,0.0,0.39694444444444443,0.0,0.0,0.0,0.2,0.0,2.3640509583325184,0.1001757735166433
qwen3:8b,before,3,60,45,18,15,0,1.0,0.5333333333333333,0.16666666666666666,0.3333333333333333,0.7833333333333333,0.028867513459481315,0.48333333333333334,0.02886751345948128,0.7833333333333333,0.028867513459481315,0.7402380952380953,0.02886751345948125,0.6716666666666666,0.028867513459481315,0.5,0.0,0.1,0.0,2.85874158000006,0.03478686354540424
qwen3:8b,after,3,60,45,18,15,0,1.0,0.6666666666666666,0.5,0.4,0.8,0.0,0.6,0.0,0.8,0.0,0.7985714285714286,0.0,0.7133333333333334,0.0,0.5,0.0,0.1,0.0,2.6189295599998634,0.017341237072995324
