,,false_success_rate,false_success_rate,false_success_rate,mean_latency_seconds,mean_latency_seconds,mean_latency_seconds,status_accuracy,status_accuracy,status_accuracy
condition,,baseline,self_check,verifier,baseline,self_check,verifier,baseline,self_check,verifier
provider,model,,,,,,,,,
ollama,gemma3:4b,0.0909090909090909,0.0,0.0,8.39629237332653,5.346994906665835,3.966579966658416,0.7333333333333333,0.7333333333333333,0.8
ollama,qwen3:8b,0.0,0.0909090909090909,0.0,13.28289032667526,3.1738624333345795,3.1392629933330074,0.8666666666666667,0.8,0.8666666666666667
openrouter,google/gemma-4-26b-a4b-it:free,0.0909090909090909,0.0909090909090909,0.0909090909090909,10.564798713333827,7.051533019996714,9.925225426667993,0.8,0.8,0.8
openrouter,openai/gpt-oss-20b:free,0.0909090909090909,0.0909090909090909,0.1818181818181818,15.817590226669562,14.040257979997357,25.59963539999832,0.7333333333333333,0.8,0.7333333333333333
