model,condition,experiment_id,behavior_accuracy,sequence_exact_accuracy,tool_selection_accuracy,required_argument_recall,argument_precision,safe_no_call_accuracy,false_tool_call_rate,mean_latency_seconds,mean_output_tokens
qwen2.5-coder:1.5b,single_stage,domain-v0.1-qwen25-coder-1.5b,0.2,0.2,0.5777777777777777,0.8333333333333334,0.43444444444444447,0.0,0.26666666666666666,5.073684473333197,103.13333333333334
qwen2.5-coder:1.5b,router_zero_shot,domain-router-v0-qwen25-coder-1.5b,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.0,0.6681006200000411,8.0
qwen2.5-coder:1.5b,router_few_shot,domain-router-fewshot-v0-qwen25-coder-1.5b,0.5333333333333333,0.26666666666666666,0.5666666666666667,0.7666666666666667,0.45,0.25,0.2,4.032651833333754,82.73333333333333
gemma3:4b,single_stage,domain-v0.1-gemma3-4b,0.7333333333333333,0.6666666666666666,0.7333333333333333,1.0,0.6888888888888889,0.0,0.26666666666666666,2.534495386666822,58.46666666666667
gemma3:4b,router_zero_shot,domain-router-v0-gemma3-4b,0.6,0.6666666666666666,0.8,0.9111111111111111,0.7555555555555555,0.5,0.13333333333333333,3.461433366666582,50.53333333333333
gemma3:4b,router_few_shot,domain-router-fewshot-v0-gemma3-4b,0.6,0.6,0.7333333333333333,0.7777777777777778,0.6888888888888889,0.75,0.06666666666666667,3.3886030466659576,50.86666666666667
qwen3:8b,single_stage,domain-v0.1-qwen3-8b,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,2.3482162533331574,52.86666666666667
qwen3:8b,router_zero_shot,domain-router-v0-qwen3-8b,0.8,0.8,0.8,0.8666666666666667,0.8,0.75,0.06666666666666667,3.337333833333105,51.4
qwen3:8b,router_few_shot,domain-router-fewshot-v0-qwen3-8b,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.75,0.06666666666666667,3.765237126667732,56.2
