provider,model,condition,n,status_accuracy,false_success_rate,false_success_ci_low,false_success_ci_high,failure_detection_rate,true_completion_rate,appropriate_abstention_rate,evidence_completeness,human_review_rate,mean_latency_seconds,mean_output_tokens
ollama,qwen3:8b,baseline,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,0.5,1.0,0.23076923076923078,14.82934530770245,81.3076923076923
ollama,qwen3:8b,self_check,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,0.5,1.0,0.23076923076923078,3.16998001538629,81.3076923076923
ollama,qwen3:8b,verifier,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,0.5,1.0,0.23076923076923078,3.122653992304829,81.3076923076923
ollama,gemma3:4b,baseline,13,0.6923076923076923,0.1111111111111111,0.019890371327130535,0.4350062147680601,0.8888888888888888,1.0,0.25,1.0,0.07692307692307693,4.5937807076843455,79.46153846153847
ollama,gemma3:4b,self_check,13,0.6923076923076923,0.0,0.0,0.2991527535509594,1.0,1.0,0.0,1.0,0.15384615384615385,5.35345995384761,78.84615384615384
ollama,gemma3:4b,verifier,13,0.7692307692307693,0.0,0.0,0.2991527535509594,1.0,1.0,0.25,1.0,0.07692307692307693,3.7728549769134796,77.46153846153847
openrouter,openai/gpt-oss-20b:free,baseline,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,1.0,1.0,0.07692307692307693,16.88808662307789,295.0
openrouter,openai/gpt-oss-20b:free,self_check,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,1.0,1.0,0.0,11.496578884611013,320.0769230769231
openrouter,openai/gpt-oss-20b:free,verifier,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,1.0,1.0,0.0,25.463166499998458,473.84615384615387
openrouter,google/gemma-4-26b-a4b-it:free,baseline,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,1.0,0.9615384615384616,0.38461538461538464,10.703569361539289,97.3076923076923
openrouter,google/gemma-4-26b-a4b-it:free,self_check,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,1.0,0.9615384615384616,0.38461538461538464,7.462300646150163,79.0
openrouter,google/gemma-4-26b-a4b-it:free,verifier,13,0.8461538461538461,0.0,0.0,0.2991527535509594,1.0,1.0,1.0,0.9615384615384616,0.38461538461538464,9.92948341538879,102.92307692307692
