experiment_id,provider,model,condition,n,status_accuracy,false_success_rate,false_success_ci_low,false_success_ci_high,failure_detection_rate,true_completion_rate,appropriate_abstention_rate,evidence_completeness,unsupported_evidence,human_review_rate,mean_latency_seconds,mean_output_tokens
v2-ollama-qwen3-8b,ollama,qwen3:8b,baseline,15,0.8666666666666667,0.0,2.775557561562892e-17,0.2588400172488141,1.0,1.0,0.5,1.0,0.0,0.2666666666666666,13.28289032667526,82.33333333333333
v2-ollama-qwen3-8b,ollama,qwen3:8b,self_check,15,0.8,0.0909090909090909,0.0162317522628259,0.3773646254862038,0.9090909090909092,1.0,0.5,0.9777777777777776,0.0,0.2,3.1738624333345795,81.73333333333333
v2-ollama-qwen3-8b,ollama,qwen3:8b,verifier,15,0.8666666666666667,0.0,2.775557561562892e-17,0.2588400172488141,1.0,1.0,0.5,0.9777777777777776,0.0,0.2666666666666666,3.1392629933330074,81.8
v3-ollama-gemma3-4b,ollama,gemma3:4b,baseline,15,0.7333333333333333,0.0909090909090909,0.0162317522628259,0.3773646254862038,0.9090909090909092,1.0,0.25,0.9777777777777776,0.0,0.0666666666666666,8.39629237332653,81.86666666666666
v3-ollama-gemma3-4b,ollama,gemma3:4b,self_check,15,0.7333333333333333,0.0,2.775557561562892e-17,0.2588400172488141,1.0,1.0,0.0,0.9777777777777776,0.0,0.2,5.346994906665835,81.0
v3-ollama-gemma3-4b,ollama,gemma3:4b,verifier,15,0.8,0.0,2.775557561562892e-17,0.2588400172488141,1.0,1.0,0.25,0.9777777777777776,0.0,0.0666666666666666,3.966579966658416,79.86666666666666
v2-openrouter-gpt-oss-20b-free,openrouter,openai/gpt-oss-20b:free,baseline,15,0.7333333333333333,0.0909090909090909,0.0162317522628259,0.3773646254862038,0.9090909090909092,1.0,1.0,0.9444444444444444,0.0,0.1333333333333333,15.817590226669562,292.06666666666666
v2-openrouter-gpt-oss-20b-free,openrouter,openai/gpt-oss-20b:free,self_check,15,0.8,0.0909090909090909,0.0162317522628259,0.3773646254862038,0.9090909090909092,1.0,1.0,0.9777777777777776,0.0,0.0,14.040257979997357,378.1333333333333
v2-openrouter-gpt-oss-20b-free,openrouter,openai/gpt-oss-20b:free,verifier,15,0.7333333333333333,0.1818181818181818,0.0513666006710006,0.4769861375782448,0.8181818181818182,1.0,1.0,0.9444444444444444,0.0,0.0,25.59963539999832,456.4666666666666
v2-openrouter-gemma4-26b-free,openrouter,google/gemma-4-26b-a4b-it:free,baseline,15,0.8,0.0909090909090909,0.0162317522628259,0.3773646254862038,0.9090909090909092,1.0,1.0,0.9444444444444444,0.0,0.3333333333333333,10.564798713333827,102.0
v2-openrouter-gemma4-26b-free,openrouter,google/gemma-4-26b-a4b-it:free,self_check,15,0.8,0.0909090909090909,0.0162317522628259,0.3773646254862038,0.9090909090909092,1.0,1.0,0.9444444444444444,0.0,0.3333333333333333,7.051533019996714,81.46666666666667
v2-openrouter-gemma4-26b-free,openrouter,google/gemma-4-26b-a4b-it:free,verifier,15,0.8,0.0909090909090909,0.0162317522628259,0.3773646254862038,0.9090909090909092,1.0,1.0,0.9444444444444444,0.0,0.3333333333333333,9.925225426667993,106.86666666666666
