model,condition,policy,n,behavior_accuracy,sequence_exact_accuracy,tool_selection_accuracy,required_argument_recall,argument_precision,safe_no_call_accuracy,false_tool_call_rate,threshold_abstain_rate,guard_block_rate,sanitization_rate,exact_preservation_rate,unsafe_proposal_capture_rate,invalid_proposal_correction_rate,exact_false_positive_count,violation_count
qwen3:8b,top3_model_only,none,15,0.9333333333333333,0.8,0.9111111111111111,0.9666666666666667,0.8666666666666667,0.75,0.06666666666666667,,,,,,,,
qwen3:8b,top3_threshold_guard,strict,15,0.9333333333333333,0.8666666666666667,0.9111111111111111,0.9,0.8888888888888888,1.0,0.0,0.13333333333333333,0.13333333333333333,0.0,1.0,1.0,0.3333333333333333,0,4
qwen3:8b,top3_threshold_guard,sanitize,15,1.0,0.9333333333333333,0.9777777777777777,0.9666666666666667,0.9555555555555556,1.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,1.0,1.0,0.6666666666666666,0,4
gemma3:4b,top3_model_only,none,15,0.6666666666666666,0.5333333333333333,0.7111111111111111,0.9666666666666667,0.6222222222222222,0.0,0.26666666666666666,,,,,,,,
gemma3:4b,top3_threshold_guard,strict,15,0.8,0.8,0.8,0.8,0.8,1.0,0.0,0.13333333333333333,0.3333333333333333,0.0,1.0,1.0,0.5714285714285714,0,12
gemma3:4b,top3_threshold_guard,sanitize,15,1.0,0.9333333333333333,0.9777777777777777,0.9666666666666667,1.0,1.0,0.0,0.13333333333333333,0.13333333333333333,0.2,1.0,1.0,0.8571428571428571,0,12
qwen2.5-coder:1.5b,top3_model_only,none,15,0.2,0.13333333333333333,0.6777777777777778,0.9333333333333333,0.4111111111111111,0.0,0.26666666666666666,,,,,,,,
qwen2.5-coder:1.5b,top3_threshold_guard,strict,15,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.13333333333333333,0.7333333333333333,0.06666666666666667,1.0,1.0,0.3076923076923077,0,25
qwen2.5-coder:1.5b,top3_threshold_guard,sanitize,15,0.9333333333333333,0.8666666666666667,0.9444444444444444,0.9333333333333333,1.0,1.0,0.0,0.13333333333333333,0.13333333333333333,0.6666666666666666,1.0,1.0,0.8461538461538461,0,25
